IC 81103, Poznań Główny, Swarzędz, 13:27, 13:45
IC 81103, Swarzędz, Września, 13:47, 14:06
IC 81103, Września, Słupca, 14:08, 14:21
IC 81103, Słupca, Konin, 14:22, 14:35
IC 81103, Konin, Koło, 14:36, 14:52
IC 81103, Koło, Kutno, 14:53, 15:15
IC 81103, Kutno, Łowicz Główny, 15:16, 15:35
IC 81103, Łowicz, Główny Sochaczew, 15:36, 15:48
IC 81103, Sochaczew, Warszawa Zachodnia, 15:49, 16:18
IC 81103, Warszawa Zachodnia, Warszawa Centralna, 16:20, 16:27
IC 81103, Warszawa Centralna, Warszawa Wschodnia, 16:50, 16:56
